PDB	N	DeltaG	deltaH	TdeltaS	Kd	HBondsNo	Polar_Contacts	Apolar_Contacts	Polar_Water_Contacts	Apolar_Water_Contacts	Surface_Waters	Cleft_Waters	Buried_Waters	
1b5j		-42.4	11.4	53.4	0.04	16	24.0	144.0	-60.9	-64.0	59.0	3.0	20.3	
1b9j		-33.9	24.6	58.3	1.1	14	24.0	136.0	-49.4	-82.7	126.4	22.6	26.1	
1bgq		-48.9	-22.8	26.09	0.0	2	6.0	82.0	-28.7	-53.1	32.4	4.7	5.0	
1bvi	1.1	-32.89	-38.03	-5.14	1.73	12	26.0	160.0	-70.2	-72.5	58.1	4.7	0.0	
1ce5		-26.6	-18.9	7.7	22.22	4	8.0	62.0	-20.4	-28.9	14.5	0.0	8.0	
1e4w		-43.1	-111.29	-68.2	0.03	2	6.0	74.0	-30.1	-62.1	89.5	1.8	0.0	
1e4x		-43.1	-102.93	-59.83	0.03	3	6.0	102.0	-26.3	-70.3	75.0	0.5	0.0	
1gz9		-20	-19.7	0.3	312.5	4	12.0	54.0	-22.1	-24.9	34.5	1.6	2.2	
1gzc		-19.9	-29.9	-10.02	322.58	11	24.0	120.0	-39.4	-63.3	43.8	3.2	1.0	
1hsg		-53.14	8.79	61.92	0.0	3	4.0	82.0	-29.8	-80.3	88.7	5.0	0.0	
1i82	0.9	-33.52	-46.32	-12.8	1.34	0	4.0	82.0	-29.8	-80.3	56.0	1.0	5.0	
1i8a	0.75	-20.19	-31.18	-11.37	333.33	7	16.0	56.0	-27.0	-27.4	70.0	5.0	10.0	
1is0		-39.96	-18.74	21.21	0.1	13	16.0	66.0	-30.9	-38.8	67.5	5.0	0.0	
1jet		-41.1	20.1	61.1	0.06	16	24.0	160.0	-54.6	-75.9	133.2	23.7	11.4	
1jeu		-38.9	11.3	50.0	0.15	13	26.0	140.0	-54.6	-90.2	96.8	12.7	11.3	
1jev		-39.2	29.3	68.2	0.13	21	28.0	252.0	-61.9	-97.8	112.6	10.9	16.0	
1k1i	0.9	-36.4	-20.6	15.8	0.41	7	16.0	80.0	-33.2	-59.0	39.2	2.9	3.0	
1k1j		-43.6	-39.6	4.0	0.02	6	14.0	122.0	-35.2	-62.2	42.3	1.0	3.0	
1k1l		-40.8	-32.9	7.9	0.07	6	16.0	122.0	-31.9	-55.1	40.1	1.1	1.0	
1k1m		-42.6	-34.4	8.2	0.03	7	16.0	114.0	-30.6	-61.6	45.3	1.7	2.1	
1k1n		-38.3	-24.7	10.6	0.19	6	12.0	92.0	-43.5	-66.0	46.3	2.2	4.0	
1kzn		-51.0	-39.6	11.4	0.0	4	10.0	112.0	-36.7	-90.4	56.3	2.1	1.0	
1lzb	0.99	-29.29	-58.99	-29.71	7.4	6	12.0	66.0	-44.0	-59.6	68.3	6.6	1.0	
1nzl		-40.58	-29.29	11.3	0.08	0	8.0	84.0	-22.9	-26.0	35.2	8.3	2.1	
1nzv		-36.4	-6.28	30.12	0.4	0	8.0	92.0	-16.1	-19.8	35.2	8.3	2.1	
1odi	0.58	-23.88	-96.23	-72.35	62.11	10	14.0	48.0	-35.2	-25.1	35.6	1.3	1.0	
1odj	0.51	-23.56	-99.16	-75.6	80.0	11	10.0	34.0	-18.7	-5.2	13.9	1.2	1.0	
1ohr		-54.81	10.88	65.69	0.0	2	4.0	74.0	-25.9	-76.2	71.6	2.4	0.0	
1oif	0.36	-42.26	-31	11.21	0.06	6	20.0	72.0	-24.5	-29.4	41.0	1.0	12.0	
1oim	0.38	-26.74	-26.44	0.38	23.26	8	18.0	100.0	-29.1	-32.3	43.0	1.0	13.0	
1pts	1.06	-22.26	-80.92	-58.58	125.88	0	0.0	12.0	-2.5	-22.7	21.1	1.4	0.0	
1qka		-33.8	36.0	69.7	1.2	15	28.0	198.0	-66.6	-75.5	40.0	12.9	24.6	
1qkb		-41.9	22.4	64.3	0.05	17	22.0	160.0	-46.3	-69.7	50.3	8.7	40.5	
1sre	1.12	-22.05	7.11	29.16	137.08	6	16.0	164.0	-29.8	-63.5	13.8	0.0	0.0	
1srg	1.13	-30.25	5.36	35.61	5	5	10.0	156.0	-24.8	-62.1	17.4	0.1	1.0	
1sri	1.0	-34.69	9.0	43.68	0.83	5	8.0	172.0	-25.7	-70.0	19.7	1.1	0.0	
1swg		-42.26	-56.07	-13.81	0.04	5	10.0	96.0	-19.0	-39.4	19.7	1.1	0.0	
1tlg		-19.1	-77.8	-58.68	440.0	2	8.0	34.0	-14.7	-18.3	117.0	5.9	0.0	
1u87		-28.22	-28.72	-0.5	11.42	4	8.0	48.0	-31.8	-36.4	40.9	4.5	0.7	
1u88		-32.55	-30.4	2.15	1.96	3	2.0	46.0	-31.6	-47.3	43.9	8.1	0.0	
2olb		-31.6	39.4	70.8	2.9	14	24.0	168.0	-56.1	-78.1	132.0	13.0	35.0	
3mbp	1.09	-34.89	9.75	44.66	0.77	7	20.0	142.0	-64.8	-64.7	44.0	11.5	8.0	
3ptb		-26.6	-18.9	7.7	22.22	4	8.0	46.0	-16.5	-23.2	22.1	2.0	9.0	
4rsk	1.0	-25.52	-42.26	-17.15	47.0	12.0	38.0	-33.1	-28.4	34.9	3.4	0.0		
4rsk	0.96	-22.18	-39.33	-17.15	150.0	12.0	38.0	-33.1	-28.4	34.9	3.4	0.0		
6gsp	1.0	-28.12	-31.97	-3.85	11.85	11	22.0	114.0	-58.2	-47.4	40.4	2.3	0.0	
